Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"AYFIE INTERNATIONA";NO0012861683;AIX;"Euronext Growth Oslo";NOK;4.34;7.36;4.34;7.36;"04/07/2025 16:27";CET;2607426;16067118.61;7.36;04/07/2025
"B2 Impact";NO0010633951;B2I;"Oslo Børs";NOK;14.36;14.52;14.20;14.48;"04/07/2025 16:25";CET;297478;4274795.64;14.48;04/07/2025
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;464.20;466.00;462.40;465.00;"04/07/2025 16:25";CET;57127;26555445.00;465.00;04/07/2025
"BALTIC SEA PROP";NO0010810476;BALT;"Euronext Growth Oslo";NOK;53.00;53.00;53.00;53.00;"30/06/2025 09:37";CET;53;2809.00;53.00;04/07/2025
"BARRAMUNDI GROUP";SGXZ33675836;BARRA;"Euronext Growth Oslo";NOK;0.95;0.95;0.90;0.948;"04/07/2025 14:53";CET;29200;27122.00;0.948;04/07/2025
"BENCHMARK HOLDINGS";GB00BGHPT808;BMK;"Euronext Growth Oslo";NOK;3.36;3.36;3.36;3.36;"04/07/2025 09:04";CET;13181;44288.16;3.36;04/07/2025
"BERGEN CARBON SOL";NO0010950249;BCS;"Euronext Growth Oslo";NOK;5.00;5.52;5.00;5.40;"04/07/2025 16:25";CET;44648;233428.98;5.40;04/07/2025
BERGENBIO;NO0013251173;BGBIO;"Oslo Børs";NOK;1.324;1.36;1.322;1.33;"04/07/2025 16:25";CET;142297;189622.128;1.33;04/07/2025
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;22.95;22.95;22.15;22.50;"04/07/2025 16:25";CET;8510;190229.45;22.50;04/07/2025
"BIEN SPAREBANK";NO0012706763;BIEN;"Oslo Børs";NOK;139.00;140.00;138.00;140.00;"04/07/2025 16:25";CET;881;122408.00;140.00;04/07/2025
"BIOFISH HOLDING";NO0010955198;BFISH;"Euronext Growth Oslo";NOK;1.755;1.755;1.725;1.75;"04/07/2025 14:29";CET;490;853.50;1.75;04/07/2025
"BLACK SEA PROPERTY";NO0010755101;BSP;"Euronext Growth Oslo";NOK;0.278;0.278;0.256;0.27;"04/07/2025 16:16";CET;885837;234521.376;0.27;04/07/2025
BLUENORD;NO0010379266;BNOR;"Oslo Børs";NOK;515.00;518.00;507.00;512.00;"04/07/2025 16:25";CET;48144;24605891.00;512.00;04/07/2025
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;231.00;231.00;228.00;229.50;"04/07/2025 16:25";CET;5919;1358435.00;229.50;04/07/2025
BORGESTAD;NO0013256180;BOR;"Oslo Børs";NOK;17.85;17.85;17.50;17.60;"04/07/2025 16:13";CET;5999;105725.50;17.60;04/07/2025
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;201.00;203.00;200.00;203.00;"04/07/2025 16:26";CET;79863;16148933.00;203.00;04/07/2025
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;80.50;80.50;79.70;79.70;"04/07/2025 16:25";CET;18628;1486541.10;79.70;04/07/2025
BRUTON;NO0013036814;BRUT;"Euronext Growth Oslo";NOK;42.60;42.60;42.60;42.60;"28/05/2025 11:46";CET;50;2130.00;42.60;04/07/2025
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;35.80;36.00;35.05;35.25;"04/07/2025 16:25";CET;50875;1802575.25;35.25;04/07/2025
"BW LPG";SGXZ69436764;BWLPG;"Oslo Børs";NOK;124.50;124.90;123.10;124.30;"04/07/2025 16:25";CET;274423;34075398.00;124.30;04/07/2025
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;33.00;33.00;31.55;31.90;"04/07/2025 16:25";CET;90017;2862662.80;31.90;04/07/2025
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;17.40;19.20;17.40;19.20;"04/07/2025 16:09";CET;243;4278.60;19.20;04/07/2025
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;50.95;51.25;50.50;50.70;"04/07/2025 16:26";CET;147465;7494983.45;50.70;04/07/2025
CAMBI;NO0010078850;CAMBI;"Euronext Growth Oslo";NOK;20.20;21.00;20.00;20.80;"04/07/2025 16:25";CET;134101;2739956.20;20.80;04/07/2025
"CAPSOL TECHNOLOGI";NO0010923121;CAPSL;"Oslo Børs";NOK;9.50;9.50;8.90;9.30;"04/07/2025 16:25";CET;56127;526275.42;9.30;04/07/2025
"CAVENDISH HYDROGEN";NO0013219535;CAVEN;"Oslo Børs";NOK;10.00;10.00;9.69;9.72;"04/07/2025 16:25";CET;112061;1096561.17;9.72;04/07/2025
"CIRCIO HOLDING";NO0013033795;CRNA;"Oslo Børs";NOK;0.619;0.63;0.609;0.627;"04/07/2025 16:25";CET;417967;258184.043;0.627;04/07/2025
"CLEAN SEAS SEAFOOD";AU000000CSS3;CSS;"Euronext Growth Oslo";NOK;1.00;1.00;1.00;1.00;"17/06/2025 09:00";CET;200;200.00;1.00;04/07/2025
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;12.60;12.86;12.38;12.72;"04/07/2025 16:25";CET;130813;1663011.52;12.72;04/07/2025
"CODELAB CAPITAL";NO0013483503;CODE;"Euronext Growth Oslo";NOK;2.99;3.20;2.99;3.01;"04/07/2025 16:25";CET;65176;200284.13;3.01;04/07/2025
"CONSTELLATION OIL";NO0013460071;COSH;"Euronext Growth Oslo";NOK;4.50;4.70;4.50;4.70;"04/07/2025 16:25";CET;490292;2206658.80;4.70;04/07/2025
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;4.72;4.72;4.65;4.67;"04/07/2025 15:00";CET;5810;27151.10;4.67;04/07/2025
"COOL COMPANY";BMG2415A1137;CLCO;"Euronext Growth Oslo";NOK;71.00;71.00;67.10;68.00;"04/07/2025 16:25";CET;16264;1119493.50;68.00;04/07/2025
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;145.00;145.10;143.80;144.00;"02/07/2025 16:27";CET;61328;8835845.00;144.00;04/07/2025
CYVIZ;NO0010015175;CYVIZ;"Euronext Growth Oslo";NOK;33.70;34.10;33.70;33.80;"04/07/2025 15:26";CET;6671;227412.00;33.80;04/07/2025
"DEEP VALUE DRILLER";NO0010955917;DVD;"Euronext Growth Oslo";NOK;16.44;17.00;16.20;16.32;"04/07/2025 16:25";CET;246088;4082616.60;16.32;04/07/2025
"DESERT CONTROL";NO0010963275;DSRT;"Euronext Growth Oslo";NOK;7.06;7.56;7.06;7.40;"04/07/2025 15:21";CET;34709;248476.04;7.40;04/07/2025
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;278.40;279.10;277.20;278.20;"04/07/2025 16:25";CET;724361;201541557.80;278.20;04/07/2025
DNO;NO0003921009;DNO;"Oslo Børs";NOK;13.56;13.56;13.32;13.37;"04/07/2025 16:25";CET;1741256;23341349.36;13.37;04/07/2025
"DOF GROUP";NO0012851874;DOFG;"Oslo Børs";NOK;90.40;90.80;89.65;90.50;"04/07/2025 16:25";CET;227910;20622615.45;90.50;04/07/2025
"DOLPHIN DRILLING";NO0012595950;DDRIL;"Euronext Growth Oslo";NOK;0.078;0.0788;0.0741;0.0741;"04/07/2025 16:25";CET;727168;54860.5867;0.0741;04/07/2025
"EAM SOLAR";NO0013601245;EAM;"Euronext Expand Oslo";NOK;2.52;3.00;2.52;2.86;"04/07/2025 16:25";CET;152720;440516.184;2.86;04/07/2025
"EDDA WIND";NO0010998529;EWIND;"Oslo Børs";NOK;22.70;23.00;22.70;22.70;"27/05/2025 16:25";CET;619;14099.30;22.70;04/07/2025
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;12.60;12.75;12.55;12.75;"04/07/2025 16:05";CET;12559;157749.55;12.75;04/07/2025
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;1.93;1.99;1.88;1.99;"04/07/2025 16:25";CET;133108;255242.055;1.99;04/07/2025
ELEKTROIMPORTØREN;NO0010911902;ELIMP;"Euronext Growth Oslo";NOK;15.75;15.75;15.40;15.45;"04/07/2025 16:25";CET;11139;172915.75;15.45;04/07/2025
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;24.44;24.44;23.90;23.90;"04/07/2025 16:29";CET;522771;12578499.12;23.90;04/07/2025
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;13.20;13.32;13.08;13.12;"04/07/2025 16:25";CET;136464;1800260.38;13.12;04/07/2025
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;35.60;35.70;35.15;35.70;"04/07/2025 16:25";CET;186198;6617584.75;35.70;04/07/2025
